hvCpG_name controlCpG_name
cg12197752 cg03807330
cg12289045 cg05542101
cg12384790 cg11785240
cg12384932 cg06740227
cg12440927 cg04257751
cg12454169 cg08155325
cg12483005 cg13378656
cg12489353 cg05294930
cg12492653 cg08772942
cg12552293 cg07104417
cg12564567 cg06057398
cg12566078 cg09063149
cg12580445 cg10512408
cg12584960 cg03367679
cg12586386 cg11115431
cg12590608 cg06509391
cg12648671 cg07856761
cg12649455 cg04111102
cg12689832 cg03265037
cg12733396 cg08864375
cg12744031 cg04891086
cg12754571 cg00630268
cg12850892 cg05931054
cg12870014 cg05222850
cg12884551 cg06441001
cg12944343 cg08137040
cg12950816 cg11591636
cg12954512 cg06193838
cg13023646 cg11273205
cg13105599 cg07681579
cg13106484 cg07610853
cg13126279 cg09363443
cg13126871 cg00435082
cg13132497 cg07170045
cg13159946 cg04460816
cg13207180 cg04192740
cg13207630 cg06553792
cg13208088 cg09798888
cg13221347 cg04600092
cg13229782 cg04289385
cg13286698 cg11871050
cg13293535 cg06572904
cg13304350 cg06928695
cg13315047 cg08115510
cg13315147 cg08314781
cg13335691 cg03024372
cg13375589 cg04833017
cg13392078 cg08596817
cg13444538 cg11945507
cg13457410 cg02517711
cg13462219 cg06982272
cg13480937 cg00262122
cg13486833 cg10218305
cg13498757 cg09655341
cg00004421 cg07280182
cg00021600 cg05164758
cg00044354 cg06991392
cg00243480 cg04100956
cg00299286 cg11207307
cg00318347 cg08154437
cg00321709 cg08571738
cg00325531 cg08484225
cg00341042 cg03901958
cg00373499 cg00764058
cg00374263 cg09729274
cg00375983 cg02771142
cg00385441 cg10792982
cg00391030 cg09433910
cg00407329 cg07121807
cg00464520 cg04120578
cg00524967 cg08969274
cg00528572 cg05486138
cg00538212 cg08543015
cg00590260 cg12997404
cg00634483 cg04320044
cg00639615 cg06245229
cg00711090 cg09998133
cg00737841 cg08591538
cg00744351 cg09660145
cg00758915 cg07137983
cg00793935 cg08074621
cg00802903 cg11223252
cg00815399 cg11382394
cg00815832 cg09012544
cg00841760 cg11624946
cg00879218 cg06776976
cg00935887 cg11992241
cg00937982 cg10808810
cg00945507 cg05448383
cg00963378 cg00401433
cg01026009 cg07437737
cg01042465 cg08485259
cg01066472 cg11794649
cg01076970 cg04236512
cg01124477 cg00998784
cg02505002 cg12210418
cg02526277 cg07638500
cg02529723 cg06388730
cg02530860 cg07666882
cg02531227 cg05794042
cg02532518 cg06481800
cg02562344 cg03991534
cg02601489 cg10914558
cg02610813 cg06393290
cg02661079 cg07218880
cg02687418 cg08439901
cg02707176 cg00244642
cg02710296 cg11093508
cg02722596 cg00341522
cg02741440 cg10738119
cg02806645 cg13001289
cg02829712 cg04884025
cg02847897 cg03747345
cg02857273 cg10601624
cg02871313 cg00669777
cg02880119 cg03946168
cg02884181 cg13389211
cg02933909 cg06361383
cg02980621 cg01064363
cg03043822 cg00016255
cg03102494 cg09239591
cg03106056 cg02762689
cg03163459 cg04412648
cg03165176 cg05818394
cg03185704 cg10156274
cg03188390 cg05779585
cg03193322 cg02909298
cg03203197 cg07425204
cg03240981 cg04585378
cg03251655 cg00373256
cg03254146 cg03934689
cg03278726 cg09829222
cg03308092 cg07720105
cg03337057 cg00516092
cg03349091 cg12744758
cg03389890 cg06779553
cg03415617 cg03528246
cg03448548 cg07216436
cg03454353 cg01042246
cg03454639 cg06949673
cg03455316 cg00020191
cg03486986 cg09202851
cg03504078 cg03989520
cg03508095 cg04619882
cg03570920 cg07111441
cg03604073 cg13233929
cg03604322 cg03485830
cg03695236 cg02821871
cg03780733 cg03326307
cg03814644 cg04134754
cg03839794 cg07269557
cg03873153 cg06112727
cg03880033 cg12929805
cg03885646 cg09082487
cg03894796 cg08640168
cg03897860 cg00981060
cg03898577 cg00864474
cg03904042 cg07292773
cg03928431 cg00398130
cg03951833 cg11386080
cg03998338 cg10754505
cg04004158 cg09331986
cg04056384 cg03611590
cg04122358 cg00424166
cg04139465 cg08876085
cg04160343 cg05804440
cg04220104 cg03504865
cg04224786 cg09022458
cg04231050 cg07171527
cg04231094 cg05240610
cg04297105 cg13208562
cg04321555 cg10871876
cg04394529 cg00681363
cg04453138 cg05286348
cg04506728 cg12152352
cg04515200 cg04408162
cg04518186 cg06225634
cg04520078 cg00420742
cg04569615 cg09481866
cg04580344 cg10633827
cg04648334 cg06949234
cg04671462 cg08209104
cg04720797 cg13454937
cg04774597 cg08048577
cg04821993 cg10537328
cg04836851 cg00302494
cg04933168 cg11096515
cg04938149 cg07539443
cg05060440 cg13353999
cg05076820 cg07586193
cg05086444 cg10313149
cg05107535 cg06622528
cg05262382 cg04770751
cg05267394 cg06423665
cg05351887 cg13461509
cg05353869 cg00648919
cg05371552 cg03668556
cg05376465 cg10544093
cg05453358 cg05907835
cg05471521 cg08912666
cg05594286 cg13007502
cg05598727 cg00754896
cg05655281 cg10695490
cg05656990 cg04374321
cg05661093 cg03534847
cg05673293 cg03147900
cg05681977 cg10164393
cg05696092 cg07309820
cg05710090 cg04001014
cg05769153 cg07074571
cg05772155 cg05465935
cg05806645 cg05290489
cg05820861 cg09473613
cg05852052 cg12410939
cg05860956 cg00765783
cg05890956 cg06197836
cg05927579 cg08261702
cg05940452 cg00643333
cg05989533 cg12678462
cg06048354 cg08718108
cg06092953 cg08824344
cg06106599 cg02506753
cg06116009 cg07451370
cg06127801 cg03276785
cg06142341 cg07665060
cg06185146 cg03546806
cg06188367 cg09259235
cg06200857 cg04353769
cg06211550 cg09114153
cg06213635 cg09834465
cg06312072 cg03826059
cg06329735 cg07993178
cg06414816 cg03797398
cg06421774 cg12877335
cg06424894 cg04101806
cg06456738 cg09077672
cg06468385 cg12728621
cg06470855 cg09925467
cg06478886 cg04667114
cg06532268 cg07062262
cg06536378 cg13320538
cg06565641 cg10761315
cg06577446 cg10042856
cg06609049 cg10453019
cg06627087 cg01160692
cg06642626 cg07057191
cg06660976 cg00859622
cg06710438 cg09881510
cg06743973 cg12524179
cg06770163 cg08044140
cg06797068 cg05973488
cg06797880 cg03924776
cg06809326 cg05762616
cg06895913 cg05648225
cg06897442 cg09854734
cg06937068 cg12844841
cg06939851 cg08457514
cg06968712 cg12489444
cg06971773 cg03835824
cg06972969 cg10243348
cg06999762 cg00336791
cg07011961 cg04198323
cg07036530 cg13356896
cg07053727 cg05130355
cg07059402 cg07537853
cg07120369 cg11360973
cg07158503 cg06407843
cg07175288 cg10911365
cg07176589 cg03599988
cg07179872 cg05716278
cg07211768 cg10702366
cg07220448 cg13095737
cg07226201 cg04376123
cg07241573 cg12297814
cg07244927 cg04556418
cg07252200 cg03421195
cg07280807 cg12944572
cg07297242 cg06708237
cg07302051 cg00406392
cg07327178 cg10033746
cg07333305 cg09304272
cg07401067 cg05886811
cg07516091 cg02796380
cg07520649 cg07194093
cg07524214 cg06544989
cg07524997 cg07034004
cg07555084 cg02799478
cg07564287 cg10522447
cg07592361 cg00747849
cg07608565 cg11594940
cg07620573 cg05255580
cg07628769 cg03871120
cg07673020 cg00887508
cg07676361 cg10462778
cg07798610 cg08508761
cg07809484 cg00698126
cg07816006 cg09554856
cg07821374 cg10576267
cg07845873 cg12989217
cg07859640 cg03207151
cg07866725 cg09713896
cg07869907 cg00466898
cg07872373 cg06595212
cg07938480 cg05884501
cg07951728 cg07572930
cg07953201 cg09342225
cg07963854 cg06616202
cg07970752 cg04770764
cg07974627 cg10950857
cg08013331 cg07178064
cg08040012 cg05375699
cg08065229 cg07041748
cg08083251 cg08356509
cg08095654 cg04839835
cg08111158 cg04810656
cg08124399 cg00767496
cg08125436 cg04524478
cg08234653 cg05249937
cg08254200 cg03885431
cg08292485 cg05688824
cg08293242 cg10134910
cg08296385 cg13217333
cg08422420 cg00319359
cg08481967 cg10661734
cg08504662 cg11406667
cg08534443 cg10895682
cg08535474 cg00891278
cg08570243 cg10924080
cg08573926 cg11371879
cg08602346 cg12632264
cg08609578 cg02726930
cg08617160 cg09344986
cg08642111 cg12651352
cg08657341 cg04743872
cg08666831 cg12466669
cg08676438 cg07530925
cg08745965 cg12047752
cg08767820 cg07081477
cg08784247 cg03980408
cg08787039 cg04117029
cg08819022 cg11797898
cg08835099 cg02751803
cg08847173 cg09583041
cg08849628 cg07018645
cg08885224 cg04109092
cg08894761 cg12518535
cg08901632 cg09988663
cg08961547 cg06916725
cg09040078 cg00428598
cg09075844 cg02678638
cg09084477 cg04709302
cg09135656 cg00491675
cg09219688 cg06920324
cg09225162 cg13316543
cg09234936 cg02737418
cg09295799 cg12422844
cg09317502 cg00527489
cg09406004 cg11799283
cg09436545 cg04446653
cg09439915 cg13492223
cg09460553 cg12038641
cg09506037 cg06989330
cg09506081 cg07177306
cg09508496 cg02861456
cg09511963 cg03696603
cg09623773 cg09400566
cg09642347 cg03723148
cg09654796 cg09997497
cg09754549 cg04381380
cg09770131 cg06020207
cg09791746 cg13162960
cg09820378 cg02531439
cg09883255 cg08845291
cg09922452 cg04425270
cg09971646 cg09337544
cg09981929 cg09736922
cg09999114 cg13466970
cg10013324 cg11304315
cg10021924 cg09005679
cg10079374 cg05070558
cg10105794 cg06322064
cg10156846 cg09742346
cg10163794 cg04755386
cg10166044 cg04326348
cg10177518 cg01119072
cg10180052 cg13026137
cg10203211 cg08284564
cg10231675 cg12458039
cg10238972 cg06801941
cg10261416 cg10761843
cg10317314 cg09088406
cg10399099 cg07832738
cg10418997 cg04439128
cg10475928 cg12093043
cg10507304 cg11980897
cg10512964 cg13314310
cg10553103 cg00699617
cg10555383 cg04983296
cg10582608 cg13048591
cg10599438 cg07689252
cg10627839 cg08399733
cg10635895 cg02989715
cg10643271 cg11248254
cg10654546 cg00438026
cg10680224 cg06520331
cg10720000 cg08043020
cg10735454 cg00318573
cg10735475 cg10177795
cg10773805 cg12158488
cg10800226 cg05361728
cg10872641 cg09960724
cg10878114 cg00729275
cg10895875 cg09263118
cg10909185 cg00259834
cg10933186 cg03195667
cg10960055 cg04169021
cg11011512 cg09874992
cg11034911 cg09804528
cg11037477 cg12061219
cg11131384 cg08390317
cg11216554 cg11291745
cg11231735 cg06085905
cg11236452 cg08725904
cg11237792 cg06887454
cg11273655 cg07069636
cg11287055 cg03075534
cg11336382 cg04125586
cg11341199 cg05024627
cg11347033 cg06604467
cg11351987 cg07952381
cg11383474 cg02524863
cg11426075 cg04415014
cg11471802 cg02797036
cg11490745 cg03366992
cg11577716 cg08415977
cg11608150 cg09659208
cg11685843 cg07484910
cg11693285 cg04301104
cg11801727 cg08527127
cg11826726 cg01031983
cg11828983 cg00421735
cg11829608 cg12157619
cg11919837 cg00577527
cg11925729 cg11954332
cg11927345 cg08452456
cg11957400 cg10332864
cg12045875 cg13074813
cg12046723 cg06681434
cg12077487 cg00793843
cg12082025 cg12084392
cg12273319 cg00658890
cg12283482 cg00917569
cg12302402 cg02595219
cg12303627 cg07806552
cg12304520 cg11309696
cg12374095 cg04111789
cg12412089 cg03271520
cg12487792 cg02786257
cg12580770 cg03609427
cg12588880 cg04477635
cg12606911 cg04453971
cg12675906 cg10809282
cg12807937 cg05064937
cg12937151 cg12547658
cg12974393 cg07676093
cg12976463 cg13316191
cg12993543 cg00878038
cg13040392 cg07911361
cg13045351 cg11670109
cg13085507 cg07045089
cg13099429 cg07253500
cg13111532 cg03500965
cg13138446 cg03770410
cg13163833 cg08392199
cg13270055 cg06964608
cg13283199 cg06887663
cg13309828 cg07473985
cg13337064 cg11108137
cg13352914 cg04778125
cg13388253 cg04740812
cg13403462 cg04593460
cg13415566 cg08669010
cg13468767 cg04188351
