ME_CpG_names SoC_CpG_names ESS_SIV_CpG_names
NA NA cg02820072
NA NA cg19712189
NA NA cg07918620
NA NA cg06710596
NA NA cg08835041
NA NA cg14299480
NA NA cg02753903
NA NA cg24377285
NA NA cg22379212
NA NA cg03598159
NA NA cg02452418
NA NA cg02452966
NA NA cg10148932
NA NA cg08551532
NA NA cg15035382
NA NA cg08871608
NA NA cg19605788
NA NA cg24923931
NA NA cg15572907
NA NA cg01127878
NA NA cg08835342
NA NA cg19302410
NA NA cg05275595
NA NA cg11906444
NA NA cg23263641
NA NA cg23489630
NA NA cg00843105
NA NA cg10862535
NA NA cg13801271
NA NA cg15825916
NA NA cg02873525
NA NA cg05017628
NA NA cg20724680
NA NA cg02784823
NA NA cg26280727
NA NA cg18955367
NA NA cg16194588
NA NA cg19746536
NA NA cg17434634
NA NA cg24324837
NA NA cg14318858
NA NA cg26744682
NA NA cg15177613
NA NA cg03337057
NA NA cg27392904
NA NA cg10374084
NA NA cg09697795
NA NA cg00297876
NA NA cg15007959
NA NA cg15690347
NA NA cg11430371
NA NA cg17071417
NA NA cg10687087
NA NA cg15116481
NA NA cg18254983
NA NA cg19149785
NA NA cg15497724
NA NA cg14884932
NA NA cg14724749
NA NA cg15721243
NA NA cg20149571
NA NA cg00414890
NA NA cg17509563
NA NA cg05294813
NA NA cg01421902
NA NA cg16255914
NA NA cg05633225
NA NA cg13948710
NA NA cg05338009
NA NA cg09522962
NA NA cg01624238
NA NA cg20995778
NA NA cg27105123
NA NA cg22459517
NA NA cg11710211
NA NA cg18644286
NA NA cg26332114
NA NA cg19603903
NA NA cg06643849
NA NA cg25432232
NA NA cg23391173
NA NA cg16870655
NA NA cg26353507
NA NA cg05089527
NA NA cg06850787
NA NA cg21665850
NA NA cg01479768
NA NA cg26476930
NA NA cg20057198
NA NA cg06791546
NA NA cg01854967
NA NA cg00450617
NA NA cg14793137
NA NA cg01028140
NA NA cg21862353
NA NA cg26094651
NA NA cg19705853
NA NA cg05180887
NA NA cg10075506
NA NA cg25000021
NA NA cg06502997
NA NA cg15541040
NA NA cg15506890
NA NA cg08493051
NA NA cg12156873
NA NA cg19867917
NA NA cg09974661
NA NA cg17872886
NA NA cg19825600
NA NA cg17052675
NA NA cg23761544
NA NA cg03538480
NA NA cg14973360
NA NA cg01299579
NA NA cg00523161
NA NA cg15750303
NA NA cg20702390
NA NA cg04391048
NA NA cg24879782
NA NA cg12454169
NA NA cg15652532
NA NA cg15403517
NA NA cg04131969
NA NA cg09467607
NA NA cg15865511
NA NA cg00493304
NA NA cg19384241
NA NA cg14554157
NA NA cg20592124
NA NA cg14608581
NA NA cg21989299
NA NA cg12850242
NA NA cg20891558
NA NA cg19729930
NA NA cg15135990
NA NA cg04255230
NA NA cg19148731
NA NA cg10973622
NA NA cg12606911
NA NA cg22068400
NA NA cg05852568
NA NA cg00596207
NA NA cg23061114
NA NA cg03595348
NA NA cg14131536
NA NA cg15544633
NA NA cg06150148
NA NA cg23719516
NA NA cg09003973
NA NA cg22022881
NA NA cg27422857
NA NA cg26874229
NA NA cg22878388
NA NA cg09391405
NA NA cg05468156
NA NA cg08570243
NA NA cg09982942
NA NA cg02781088
NA NA cg21482265
NA NA cg12889195
NA NA cg11763394
NA NA cg21550016
NA NA cg19083407
NA NA cg07594247
NA NA cg02675527
NA NA cg09704166
NA NA cg06675538
NA NA cg01577475
NA NA cg23156509
NA NA cg22084806
NA NA cg23690488
NA NA cg19651219
NA NA cg22670147
NA NA cg24654266
NA NA cg21887373
NA NA cg25223285
NA NA cg03738707
NA NA cg11059159
NA NA cg00597225
NA NA cg05903289
NA NA cg09125754
NA NA cg26170569
NA NA cg01568492
NA NA cg14902204
NA NA cg04289314
NA NA cg15473092
NA NA cg00178224
NA NA cg06332335
NA NA cg07051654
NA NA cg14161159
NA NA cg11939300
NA NA cg24980657
NA NA cg07563363
NA NA cg08146621
NA NA cg07508773
NA NA cg17598339
NA NA cg27490568
NA NA cg19648023
NA NA cg01124477
NA NA cg21300403
NA NA cg23649088
NA NA cg17644776
NA NA cg16218221
NA NA cg24664470
NA NA cg20296298
NA NA cg16865291
NA NA cg08122831
NA NA cg27329091
NA NA cg20369299
NA NA cg10540573
NA NA cg03028786
NA NA cg13774987
NA NA cg02577387
NA NA cg08863422
NA NA cg15577010
NA NA cg13312387
NA NA cg03238981
NA NA cg17871621
NA NA cg11946719
NA NA cg19183395
NA NA cg22653957
NA NA cg16700265
NA NA cg04097388
NA NA cg09646946
NA NA cg16989719
NA NA cg23361828
NA NA cg06107260
NA NA cg07673080
NA NA cg10639368
NA NA cg26317006
NA NA cg22062537
NA NA cg07628769
NA NA cg26154534
NA NA cg14908680
NA NA cg17098979
NA NA cg20396053
NA NA cg09991306
NA NA cg03532030
NA NA cg15506703
NA NA cg12791136
NA NA cg06143315
NA NA cg06360820
NA NA cg18898632
NA NA cg27632471
NA NA cg26098768
NA NA cg25325723
NA NA cg11939450
NA NA cg05373875
NA NA cg14815891
NA NA cg20811988
NA NA cg21427119
NA NA cg17840843
NA NA cg09796376
NA NA cg05840533
NA NA cg03904042
NA NA cg13403462
NA NA cg16440058
NA NA cg14752227
NA NA cg05927579
NA NA cg25301532
NA NA cg17848838
NA NA cg10662479
NA NA cg02396020
NA NA cg06060522
NA NA cg24550212
NA NA cg25181043
NA NA cg23571474
NA NA cg12014753
NA NA cg04763273
NA NA cg09885502
NA NA cg10017561
NA NA cg14073986
NA NA cg12751644
NA NA cg06108461
NA NA cg24112000
NA NA cg07400741
NA NA cg23096297
NA NA cg08045932
NA NA cg24143873
NA NA cg07620230
NA NA cg27306467
NA NA cg06343169
NA NA cg02188142
NA NA cg25507885
NA NA cg24114772
NA NA cg04985582
NA NA cg06748315
NA NA cg21871883
NA NA cg06287548
NA NA cg14535332
NA NA cg19521832
NA NA cg23908228
NA NA cg07321776
NA NA cg16719517
NA NA cg22274813
NA NA cg21697851
NA NA cg24354581
NA NA cg00937982
NA NA cg15750546
NA NA cg24080247
NA NA cg23286646
NA NA cg01853561
NA NA cg18380783
NA NA cg22778903
NA NA cg02238362
NA NA cg19766460
NA NA cg23590273
NA NA cg16784985
NA NA cg21139150
NA NA cg07529122
NA NA cg11766577
NA NA cg13126279
NA NA cg14789911
NA NA cg25726756
NA NA cg08742575
NA NA cg12016809
NA NA cg05896524
NA NA cg13012494
NA NA cg13732083
NA NA cg10296238
NA NA cg09417038
NA NA cg03308092
NA NA cg27415324
NA NA cg21401457
NA NA cg03868770
NA NA cg00607058
NA NA cg12906381
NA NA cg25125450
NA NA cg14301048
NA NA cg13270055
NA NA cg06230247
NA NA cg07265806
NA NA cg13116946
NA NA cg19629216
NA NA cg23684502
NA NA cg01059385
NA NA cg22189786
NA NA cg01529207
NA NA cg17050807
NA NA cg15557168
NA NA cg05082376
NA NA cg20727362
NA NA cg03328754
NA NA cg00610021
NA NA cg12301347
NA NA cg15236483
NA NA cg00784671
NA NA cg05992904
NA NA cg05132077
NA NA cg01652190
NA NA cg07959070
NA NA cg07895657
NA NA cg19214594
NA NA cg16294310
NA NA cg02447733
NA NA cg17852224
NA NA cg07850323
NA NA cg26394916
NA NA cg02578087
NA NA cg12436715
NA NA cg20850873
NA NA cg20701799
NA NA cg22843684
NA NA cg22620414
NA NA cg07626033
NA NA cg20378921
NA NA cg19876987
NA NA cg16303742
NA NA cg03911306
NA NA cg08219773
NA NA cg21646032
NA NA cg13707894
NA NA cg16705744
NA NA cg21473142
NA NA cg18130688
NA NA cg27361401
NA NA cg06360956
NA NA cg27121316
NA NA cg11235602
NA NA cg05983061
NA NA cg24050474
NA NA cg24524379
NA NA cg11219411
NA NA cg02834909
NA NA cg19668234
NA NA cg01788113
NA NA cg00817731
NA NA cg04507495
NA NA cg13682223
NA NA cg12930727
NA NA cg04865290
NA NA cg21126969
NA NA cg24616795
NA NA cg07884673
NA NA cg27127091
NA NA cg16814023
NA NA cg05401945
NA NA cg18405880
NA NA cg11044162
NA NA cg01228342
NA NA cg03847932
NA NA cg20540428
NA NA cg06217323
NA NA cg00186462
NA NA cg16975614
NA NA cg03021329
NA NA cg05084668
NA NA cg01620082
NA NA cg02807482
NA NA cg15145296
NA NA cg24341311
NA NA cg21487550
NA NA cg16516295
NA NA cg02693227
NA NA cg27226125
NA NA cg08439880
NA NA cg11941060
NA NA cg08048268
NA NA cg01448562
NA NA cg16414030
NA NA cg11885357
NA NA cg24530147
NA NA cg14325153
NA NA cg21136104
NA NA cg15726045
NA NA cg20514083
NA NA cg03906843
NA NA cg21766308
NA NA cg27098685
NA NA cg21478177
NA NA cg14023239
NA NA cg24707617
NA NA cg12326526
NA NA cg01324343
NA NA cg17466567
NA NA cg01114486
NA NA cg15260248
NA NA cg17611045
NA NA cg07620573
NA NA cg22613854
NA NA cg22831526
NA NA cg25871427
NA NA cg13752114
NA NA cg18918831
NA NA cg18713687
NA NA cg01310397
NA NA cg01079515
NA NA cg01797371
NA NA cg20917491
NA NA cg01550828
NA NA cg18522231
NA NA cg18025886
NA NA cg15727583
NA NA cg20320494
NA NA cg12717203
NA NA cg25397663
NA NA cg10197305
NA NA cg14192029
NA NA cg26693817
NA NA cg11229771
NA NA cg27357918
NA NA cg00723338
NA NA cg15201545
NA NA cg17035899
NA NA cg19427345
NA NA cg23143502
NA NA cg20814179
NA NA cg25932599
NA NA cg26479374
NA NA cg16399632
NA NA cg19621877
NA NA cg25034424
NA NA cg27311590
NA NA cg12456927
NA NA cg22351267
NA NA cg24258529
NA NA cg25007799
NA NA cg13943068
NA NA cg03393996
NA NA cg19704288
NA NA cg13444392
NA NA cg07042007
NA NA cg14405197
NA NA cg14583973
NA NA cg15867164
NA NA cg23495837
NA NA cg05600350
NA NA cg21811021
NA NA cg15105060
NA NA cg27200895
NA NA cg25817503
NA NA cg06758191
NA NA cg07075387
NA NA cg13291296
NA NA cg27462975
NA NA cg19113954
NA NA cg02722613
NA NA cg12494166
NA NA cg24826020
NA NA cg02016764
NA NA cg25243082
NA NA cg01777861
NA NA cg09978860
NA NA cg18463607
NA NA cg20618651
NA NA cg19978674
NA NA cg11281224
NA NA cg16201418
NA NA cg04118610
NA NA cg09189601
NA NA cg15158783
NA NA cg21043213
NA NA cg16072462
NA NA cg15398841
NA NA cg02530824
NA NA cg06834998
NA NA cg05509609
NA NA cg10057126
NA NA cg22772235
NA NA cg26363580
NA NA cg10249074
NA NA cg21298523
NA NA cg19151808
NA NA cg01026744
NA NA cg18538958
NA NA cg26204682
NA NA cg05104897
NA NA cg07870920
NA NA cg00957698
NA NA cg06713675
NA NA cg16301894
NA NA cg14493094
NA NA cg07200874
NA NA cg12623183
NA NA cg24019078
NA NA cg09329496
NA NA cg23643542
NA NA cg09623286
NA NA cg19340941
NA NA cg00137234
NA NA cg23137881
NA NA cg05767411
NA NA cg13023646
NA NA cg14038058
NA NA cg11955878
NA NA cg16373817
NA NA cg11685843
NA NA cg25586011
NA NA cg17059388
NA NA cg25046720
NA NA cg09768983
NA NA cg04960065
NA NA cg12167823
NA NA cg09526685
NA NA cg23442198
NA NA cg14349977
NA NA cg27420889
NA NA cg27327312
NA NA cg21004358
NA NA cg11331717
NA NA cg14804593
NA NA cg16588159
NA NA cg08456051
NA NA cg14840187
NA NA cg01790032
NA NA cg00936904
NA NA cg05262382
NA NA cg05648010
NA NA cg22807585
NA NA cg09854184
NA NA cg07599136
NA NA cg17553881
NA NA cg01228410
NA NA cg11360755
NA NA cg18447419
NA NA cg04299200
NA NA cg14799488
NA NA cg23206463
NA NA cg24131574
NA NA cg01299774
NA NA cg04136185
NA NA cg18765565
NA NA cg05978154
NA NA cg11629812
NA NA cg11100933
NA NA cg02124887
NA NA cg26472636
NA NA cg27149073
NA NA cg08422420
NA NA cg19969650
NA NA cg01987362
NA NA cg15671317
NA NA cg19050152
NA NA cg01114163
NA NA cg11168104
NA NA cg15595755
NA NA cg04156016
NA NA cg14773178
NA NA cg07747251
NA NA cg19770292
NA NA cg18366169
NA NA cg19575753
NA NA cg27611887
NA NA cg26168224
NA NA cg11468819
NA NA cg25485055
NA NA cg16079430
NA NA cg27586797
NA NA cg04734587
NA NA cg08818829
NA NA cg06782035
NA NA cg22054885
NA NA cg09166973
NA NA cg22079902
NA NA cg01667892
NA NA cg09141300
NA NA cg07784793
NA NA cg21929564
NA NA cg09164108
NA NA cg18373318
NA NA cg06536806
NA NA cg18302225
NA NA cg16151494
NA NA cg14137162
NA NA cg22024931
NA NA cg24114444
NA NA cg08441455
NA NA cg02573091
NA NA cg19683494
NA NA cg00601450
NA NA cg26680317
NA NA cg16293892
NA NA cg18281939
NA NA cg26286839
NA NA cg15871215
NA NA cg16102102
NA NA cg14587401
NA NA cg00849368
NA NA cg26076750
NA NA cg02976617
NA NA cg13665998
NA NA cg09166085
NA NA cg07655627
NA NA cg11772086
NA NA cg21036194
NA NA cg14340928
NA NA cg18710053
NA NA cg02304092
NA NA cg12939425
NA NA cg06647332
NA NA cg06307176
NA NA cg07158503
NA NA cg11608150
NA NA cg06478886
NA NA cg04481923
NA NA cg18678645
NA NA cg06536614
NA NA cg26328633
NA NA cg25340688
NA NA cg26896946
NA NA cg00124993
NA NA cg16615357
NA NA cg18797653
NA NA cg17251423
NA NA cg05457480
NA NA cg12420107
NA NA cg06282446
NA NA cg00585072
NA NA cg22459739
NA NA cg04634417
NA NA cg02560085
NA NA cg24792717
NA NA cg01925738
NA NA cg24127414
NA NA cg21105916
NA NA cg24996161
NA NA cg04242499
NA NA cg07524997
NA NA cg03892308
NA NA cg24865955
NA NA cg13022905
NA NA cg05191217
NA NA cg12924302
NA NA cg18537617
NA NA cg24719726
NA NA cg00982641
NA NA cg06417125
NA NA cg20758593
NA NA cg02091185
NA NA cg13582457
NA NA cg01802043
NA NA cg01469864
NA NA cg06060754
NA NA cg16006841
NA NA cg18808692
NA NA cg08871495
NA NA cg02599361
NA NA cg26694831
NA NA cg26135573
NA NA cg06869965
NA NA cg02567769
NA NA cg23221052
NA NA cg23248424
NA NA cg02891314
NA NA cg03671052
NA NA cg00533202
NA NA cg07332563
NA NA cg21548813
NA NA cg03395511
NA NA cg15383120
NA NA cg18110333
NA NA cg05064044
NA NA cg11235426
NA NA cg01516881
NA NA cg11787218
NA NA cg21062780
NA NA cg13299743
NA NA cg02792740
NA NA cg07844977
NA NA cg27408171
NA NA cg14555649
NA NA cg07377178
NA NA cg16613240
NA NA cg09285851
NA NA cg19579217
NA NA cg23049448
NA NA cg11395949
NA NA cg02735058
NA NA cg23525438
NA NA cg10154826
NA NA cg05927817
NA NA cg11382666
NA NA cg07914385
NA NA cg09012091
NA NA cg27524988
NA NA cg18433519
NA NA cg16906346
NA NA cg03264133
NA NA cg12310025
NA NA cg03517284
NA NA cg13736514
NA NA cg15969227
NA NA cg03359964
NA NA cg09817162
NA NA cg10279314
NA NA cg09395805
NA NA cg25426208
NA NA cg26533311
NA NA cg27226147
NA NA cg17553149
NA NA cg18105139
NA NA cg19386998
NA NA cg26968378
NA NA cg12584458
NA NA cg21903646
NA NA cg27535677
NA NA cg26865747
NA NA cg13565129
NA NA cg22452837
NA NA cg10582608
NA NA cg16677399
NA NA cg00903577
NA NA cg26481402
NA NA cg02846841
NA NA cg03656877
NA NA cg23584176
NA NA cg17512539
NA NA cg15148691
NA NA cg11747594
NA NA cg15708526
NA NA cg04071440
NA NA cg16885113
NA NA cg11383134
NA NA cg03198009
NA NA cg03449857
NA NA cg15570656
NA NA cg02157626
NA NA cg11201654
NA NA cg20519483
NA NA cg01813171
NA NA cg10821226
NA NA cg17134700
NA NA cg01062395
NA NA cg11406274
NA NA cg03995122
NA NA cg08231349
NA NA cg15671450
NA NA cg23681866
NA NA cg15411272
NA NA cg26121931
NA NA cg24838316
NA NA cg07792871
NA NA cg19199204
NA NA cg18609120
NA NA cg00947782
NA NA cg18930910
NA NA cg03343571
NA NA cg10930308
NA NA cg02188185
NA NA cg21232488
NA NA cg04679849
NA NA cg26190386
NA NA cg17931227
NA NA cg09179646
NA NA cg22291762
NA NA cg24427850
NA NA cg26668675
NA NA cg03078486
NA NA cg22701603
NA NA cg26818629
NA NA cg27547543
NA NA cg09357589
NA NA cg14036627
NA NA cg11811828
NA NA cg04710276
NA NA cg27529346
NA NA cg06937348
NA NA cg07455790
NA NA cg02389040
NA NA cg10690152
NA NA cg10095777
NA NA cg08306589
NA NA cg13009361
NA NA cg24138857
NA NA cg24955829
NA NA cg24640182
NA NA cg14704780
NA NA cg06871764
NA NA cg13081526
NA NA cg10466124
NA NA cg20022036
NA NA cg24071943
NA NA cg24760581
NA NA cg15752756
NA NA cg07180897
NA NA cg10714510
NA NA cg09739413
NA NA cg02964065
NA NA cg15255946
NA NA cg00755130
NA NA cg27160348
NA NA cg15321244
NA NA cg18609891
NA NA cg10218546
NA NA cg10698654
NA NA cg15115757
NA NA cg04913118
NA NA cg23636571
NA NA cg06812795
NA NA cg04832245
NA NA cg01948226
NA NA cg09713850
NA NA cg02197634
NA NA cg05431670
NA NA cg12770425
NA NA cg15189031
NA NA cg04449473
NA NA cg23737190
NA NA cg20290983
NA NA cg05496603
NA NA cg04228998
NA NA cg00057324
NA NA cg20364632
NA NA cg16523850
NA NA cg05622882
NA NA cg12086421
NA NA cg24573321
NA NA cg18830697
NA NA cg23414861
NA NA cg02931604
NA NA cg20048521
NA NA cg26550861
NA NA cg08124399
NA NA cg25716013
NA NA cg11941920
NA NA cg08355045
NA NA cg08690976
NA NA cg22092014
NA NA cg18751133
NA NA cg21148531
NA NA cg21918786
NA NA cg19196401
NA NA cg03320844
NA NA cg20390711
NA NA cg14079463
NA NA cg04580344
NA NA cg12606694
NA NA cg17829936
NA NA cg22676075
NA NA cg09217309
NA NA cg21827153
NA NA cg23603995
NA NA cg07621945
NA NA cg16073143
NA NA cg18373855
NA NA cg15298323
NA NA cg25736982
NA NA cg26695881
NA NA cg13679164
NA NA cg26834192
NA NA cg09655876
NA NA cg14101117
NA NA cg22141696
NA NA cg07750638
NA NA cg19520046
NA NA cg24246628
NA NA cg14316629
NA NA cg24775963
NA NA cg05422022
NA NA cg09565319
NA NA cg26186549
NA NA cg21239179
NA NA cg08634229
NA NA cg11181693
NA NA cg09894276
NA NA cg11938672
NA NA cg18322025
NA NA cg26850117
NA NA cg05935904
NA NA cg17529386
NA NA cg02546416
NA NA cg20464680
NA NA cg18217622
NA NA cg07257824
NA NA cg23368159
NA NA cg15535638
NA NA cg21158664
NA NA cg25929664
NA NA cg17430651
NA NA cg11634705
NA NA cg15782153
NA NA cg25612754
NA NA cg19665696
NA NA cg12575883
NA NA cg22126965
NA NA cg24642844
NA NA cg03188948
NA NA cg18402987
NA NA cg27094323
NA NA cg18629009
NA NA cg01547654
NA NA cg03604067
NA NA cg13290180
NA NA cg05095590
NA NA cg03277898
NA NA cg25467336
NA NA cg19214707
NA NA cg25783987
NA NA cg24441899
NA NA cg20778547
NA NA cg24626554
NA NA cg18848287
NA NA cg22534288
NA NA cg23549902
NA NA cg01218414
NA NA cg19149522
NA NA cg27084028
NA NA cg06484146
NA NA cg11287647
NA NA cg06936290
NA NA cg24231558
NA NA cg18031675
NA NA cg04619381
NA NA cg19942237
NA NA cg07075840
NA NA cg03004598
NA NA cg09282258
NA NA cg13207630
NA NA cg27532318
NA NA cg27511599
NA NA cg15212455
NA NA cg21665744
NA NA cg13264672
NA NA cg07075347
NA NA cg13794565
NA NA cg07045469
NA NA cg07235057
NA NA cg10614809
NA NA cg07537562
NA NA cg08767820
NA NA cg03689146
NA NA cg01042465
NA NA cg25866552
NA NA cg02316066
NA NA cg11002686
NA NA cg24184022
NA NA cg10742917
NA NA cg03122674
NA NA cg07286216
NA NA cg20164601
NA NA cg00287096
NA NA cg27006947
NA NA cg17282584
NA NA cg01134260
NA NA cg03873153
NA NA cg05781417
NA NA cg21144063
NA NA cg07063559
NA NA cg22984587
NA NA cg10320410
NA NA cg15427793
NA NA cg24247132
NA NA cg04775059
NA NA cg21733973
NA NA cg24241818
NA NA cg13578160
NA NA cg12169661
NA NA cg24419391
NA NA cg14329783
NA NA cg25020666
NA NA cg19268947
NA NA cg16182691
NA NA cg13547574
NA NA cg17330251
NA NA cg05569854
NA NA cg22004693
NA NA cg20848291
NA NA cg16850897
NA NA cg01894091
NA NA cg07493435
NA NA cg04678743
NA NA cg19882784
NA NA cg19889856
NA NA cg25963505
NA NA cg23715104
NA NA cg21200382
NA NA cg21245936
NA NA cg06564125
NA NA cg01996567
NA NA cg06201680
NA NA cg06464775
NA NA cg16115627
NA NA cg00309232
NA NA cg04090468
NA NA cg18311871
NA NA cg16609021
NA NA cg11072645
NA NA cg00369443
NA NA cg15577272
NA NA cg18849847
NA NA cg16571642
NA NA cg02770061
NA NA cg10620881
NA NA cg19584649
NA NA cg11945929
NA NA cg10079374
NA NA cg00413089
NA NA cg12744031
NA NA cg25769590
NA NA cg05554000
NA NA cg13444538
NA NA cg00413030
NA NA cg13374026
NA NA cg17920646
NA NA cg24536782
NA NA cg03116837
NA NA cg23958373
NA NA cg07234876
NA NA cg07685180
NA NA cg26554054
NA NA cg01053087
NA NA cg16922753
NA NA cg00154902
NA NA cg03128011
NA NA cg20088245
NA NA cg22034735
NA NA cg27134251
NA NA cg02490460
NA NA cg27581191
NA NA cg03411742
NA NA cg14682990
NA NA cg11539066
NA NA cg25881328
NA NA cg14023020
NA NA cg09584650
NA NA cg00727777
NA NA cg16580982
NA NA cg01466164
NA NA cg04671734
NA NA cg08242633
NA NA cg22816462
NA NA cg19362774
NA NA cg03470646
NA NA cg00420450
NA NA cg10137597
NA NA cg26039829
NA NA cg02463440
NA NA cg02788857
NA NA cg18135555
NA NA cg07298985
NA NA cg16688533
NA NA cg17759595
NA NA cg06437703
NA NA cg11826726
NA NA cg05453358
NA NA cg09100271
NA NA cg09100338
NA NA cg03635442
NA NA cg08681904
NA NA cg22283653
NA NA cg07335376
NA NA cg20636351
NA NA cg07092985
NA NA cg20677078
NA NA cg19413350
NA NA cg20607798
NA NA cg08280861
NA NA cg11062466
NA NA cg08219700
NA NA cg02725872
NA NA cg04160749
NA NA cg22535103
NA NA cg05313129
NA NA cg08599672
NA NA cg25248160
NA NA cg20602954
NA NA cg04206699
NA NA cg17118775
NA NA cg21550804
NA NA cg25434864
NA NA cg17784027
NA NA cg16814680
NA NA cg11421509
NA NA cg03562736
NA NA cg16875032
NA NA cg12994228
NA NA cg23203918
NA NA cg01765152
NA NA cg22582999
NA NA cg06565641
NA NA cg11256152
NA NA cg00288598
NA NA cg07964753
NA NA cg03316587
NA NA cg08863473
NA NA cg25351599
NA NA cg26953288
NA NA cg10596483
NA NA cg24634471
NA NA cg11630226
NA NA cg07770222
NA NA cg04612566
NA NA cg19504605
NA NA cg27468773
NA NA cg11388673
NA NA cg09174681
NA NA cg05207347
NA NA cg07652447
NA NA cg01134012
NA NA cg14721632
NA NA cg23090207
NA NA cg15541193
NA NA cg19661369
NA NA cg20583945
NA NA cg17524265
NA NA cg16316162
NA NA cg07777042
NA NA cg14598846
NA NA cg23299254
NA NA cg15847845
NA NA cg07195118
NA NA cg26272248
NA NA cg14631276
NA NA cg06239191
NA NA cg18925846
NA NA cg04746089
NA NA cg06546677
NA NA cg02583091
NA NA cg14228592
NA NA cg02938066
NA NA cg22382021
NA NA cg13514324
NA NA cg26259926
NA NA cg00117018
NA NA cg06513375
NA NA cg21918548
NA NA cg13624860
NA NA cg13496837
NA NA cg13952963
NA NA cg14189141
NA NA cg02405213
NA NA cg18902978
NA NA cg13985597
NA NA cg14150197
NA NA cg14161821
NA NA cg07116010
NA NA cg10384133
NA NA cg13125506
NA NA cg13979884
NA NA cg13755866
NA NA cg21265404
NA NA cg14251009
NA NA cg02703145
NA NA cg14117219
NA NA cg14341177
NA NA cg13679303
NA NA cg21167269
NA NA cg14625636
NA NA cg21210642
NA NA cg14241370
NA NA cg03454353
NA NA cg09419670
NA NA cg14503395
NA NA cg10071929
NA NA cg13642260
NA NA cg09976142
NA NA cg13471254
NA NA cg13963044
NA NA cg13709982
NA NA cg13769283
NA NA cg21192468
NA NA cg14605520
NA NA cg14035368
NA NA cg18033770
NA NA cg14197156
NA NA cg14642467
NA NA cg14649234
NA NA cg15073164
NA NA cg02219116
NA NA cg13754915
NA NA cg13857646
NA NA cg18274896
NA NA cg17959722
NA NA cg15473904
