cpg_site,category,r_own,r_other,r_cross,own_layer,gene,dist_to_gene,pos,chr,dist_to_tss,dist_to_tss_signed,feature,in_TE,TE_class,TE_family,cluster_id
chr2_101245113,top1pcEndoOnly,0.742117642516524,0.0837736639663983,0.197496108647062,Endo,TBC1D8,0,101245113,chr2,7601,7602,intron,TRUE,SINE,Alu,161
chr2_104373927,top1pcEndoOnly,0.605734985852144,0.28260990745319,0.359752965707547,Endo,LOC124908051,0,104373927,chr2,32446,-32447,intron,TRUE,DNA,TcMar-Tigger,162
chr2_128902340,top1pcEndoOnly,0.761150895204297,0.232161241947921,0.162268572300922,Endo,LOC124907888,155909,128902340,chr2,155909,-155910,intergenic,FALSE,,,163
chr2_175400388,top1pcEndoOnly,0.534885976916416,0.150638717599972,0.471491642531344,Endo,LOC105373752,0,175400388,chr2,143025,143026,intron,FALSE,,,164
chr2_182031185,top1pcEndoOnly,0.82192836332063,0.0495918030187506,0.405301959928711,Endo,PPP1R1C,0,182031185,chr2,24987,24988,intron,TRUE,LINE,L1,165
chr2_187003438,top1pcEndoOnly,0.453841409777977,0.222945772198601,0.133256208165453,Endo,CALCRL-AS1,0,187003438,chr2,217,218,promoter,FALSE,,,166
chr2_203707953,top1pcEndoOnly,0.894723670920033,0.171225743224276,0.100995383814311,Endo,CD28,0,203707953,chr2,1435,1436,intron,FALSE,,,167
chr2_213001584,top1pcEndoOnly,0.730625239829351,0.118245563778584,0.358586749190718,Endo,IKZF2,0,213001584,chr2,65632,65633,exon,FALSE,,,168
chr2_217062556,top1pcEndoOnly,0.89649353109716,0.285124175531932,0.474532088193306,Endo,LOC105373873,0,217062556,chr2,44243,44244,exon,FALSE,,,169
chr2_226994954,top1pcEndoOnly,0.705189334186592,0.275443133387616,0.230435753166477,Endo,RHBDD1,0,226994954,chr2,25831,-25832,intron,FALSE,,,170
chr2_228500207,top1pcEndoOnly,0.77096072561513,0.0204716544132999,0.383298698507377,Endo,LINC01807,0,228500207,chr2,68049,-68050,intron,FALSE,,,171
chr2_230318605,top1pcEndoOnly,0.866252521394524,0.0938295315006602,0.454951578363003,Endo,SP140,5389,230318605,chr2,8578,-8579,intergenic,TRUE,LINE,L1,172
chr20_18728365,top1pcEndoOnly,0.686218882425016,0.200087544738808,0.435486248688187,Endo,DTD1,0,18728365,chr20,29655,-29656,intron,TRUE,DNA,hAT-Tip100?,173
chr20_31274499,top1pcEndoOnly,0.424804146950887,0.00469121479826076,0.129278384090475,Endo,DEFB115,14866,31274499,chr20,16834,16835,exon,FALSE,,,174
chr20_38892436,top1pcEndoOnly,0.429605375032449,0.160211184211456,0.353346276415019,Endo,PPP1R16B,0,38892436,chr20,33875,-33876,intron,FALSE,,,175
chr20_41378024,top1pcEndoOnly,0.8418119624337,0.203937176812916,0.432806981625315,Endo,EMILIN3,11205,41378024,chr20,11205,-11206,intergenic,TRUE,SINE,Alu,176
chr20_53469500,top1pcEndoOnly,0.746530664325217,0.0119973230548105,0.343124812238308,Endo,TSHZ2,0,53469500,chr20,34813,34814,intron,TRUE,SINE,Alu,177
chr20_56318577,top1pcEndoOnly,0.974491158242614,0.191631834298146,0.344596796294231,Endo,MIMS2,40396,56318577,chr20,40396,-40397,intergenic,TRUE,SINE,Alu,178
chr20_63085658,top1pcEndoOnly,0.636862518148793,0.261455314044858,0.201451997521669,Endo,HAR1B,6597,63085658,chr20,16546,-16547,intergenic,FALSE,,,179
chr20_63131247,top1pcEndoOnly,0.723277221583411,0.0710640909656199,0.471358380886234,Endo,LOC105376996,926,63131247,chr20,926,-927,promoter,FALSE,,,180
chr20_63165100,top1pcEndoOnly,0.504176986437124,0.0344643924135258,0.404848743010109,Endo,LOC124904952,907,63165100,chr20,13399,-13400,intergenic,FALSE,,,181
chr21_14070208,top1pcEndoOnly,0.851508919236083,0.000348298311721505,0.434175245833716,Endo,LOC105377134,0,14070208,chr21,42844,42845,promoter,FALSE,,,182
chr21_19898807,top1pcEndoOnly,0.49485876562983,0.191215908106552,0.173466852907775,Endo,LINC01683,0,19898807,chr21,1235,1236,intron,FALSE,,,183
chr21_37565327,top1pcEndoOnly,0.584295622040018,0.137096506752125,0.498499344185999,Endo,DYRK1A,38968,37565327,chr21,75300,-75301,intergenic,FALSE,,,184
chr21_38664557,top1pcEndoOnly,0.880579759568352,0.213992653230463,0.413900637223778,Endo,ERG,2776,38664557,chr21,2776,-2777,intergenic,FALSE,,,185
chr21_42518157,top1pcEndoOnly,0.514325832590962,0.0112321395092388,0.100662839518636,Endo,SLC37A1,0,42518157,chr21,21910,-21911,intron,FALSE,,,186
chr21_44344331,top1pcEndoOnly,0.503285337168245,0.025733729693668,0.0348211633536756,Endo,CFAP410,4928,44344331,chr21,4928,-4929,intergenic,TRUE,SINE,Alu,187
chr21_45819850,top1pcEndoOnly,0.586168892764057,0.112307174072139,0.0879880788319798,Endo,PCBP3,0,45819850,chr21,18136,18137,intron,FALSE,,,188
chr22_12168418,top1pcEndoOnly,0.716404268862302,0.0485876291251638,0.0940255009943279,Endo,LOC107987323,0,12168418,chr22,1311,-1312,promoter,FALSE,,,189
chr22_18958409,top1pcEndoOnly,0.640627365588978,0.236476800591105,0.227835999623804,Endo,LOC122455341,10667,18958409,chr22,11282,-11283,promoter,FALSE,,,190
chr22_26630073,top1pcEndoOnly,0.549082057174972,0.113095091512252,0.151578629759792,Endo,CRYBA4,0,26630073,chr22,12045,-12046,intron,TRUE,LINE,L2,191
chr22_26665011,top1pcEndoOnly,0.705099644707297,0.0075855420714406,0.330782036543875,Endo,MIAT,0,26665011,chr22,7927,-7928,promoter,TRUE,SINE,Alu,192
chr22_27803413,top1pcEndoOnly,0.452725033148113,0.0471985848325249,0.161955104467881,Endo,MN1,1656,27803413,chr22,1656,-1657,promoter,FALSE,,,193
chr22_42092158,top1pcEndoOnly,0.924864013878342,0.191380887552464,0.406285495816404,Endo,PHETA2,12719,42092158,chr22,17909,17910,promoter,TRUE,SINE,Alu,194
chr22_46262573,top1pcEndoOnly,0.687693394875155,0.208815943813002,0.130142009373755,Endo,PKDREJ,0,46262573,chr22,769,770,exon,FALSE,,,195
chr22_49646965,top1pcEndoOnly,0.762580169487979,0.0954565757037847,0.343791243526335,Endo,MIR3667HG,0,49646965,chr22,11466,11467,intron,FALSE,,,196
chr22_50267083,top1pcEndoOnly,0.77016768185784,0.228593570976525,0.465078762057458,Endo,MAPK11,0,50267083,chr22,3683,3684,intron,FALSE,,,197
chr22_50499363,top1pcEndoOnly,0.953365677545427,0.0794951084037477,0.364888025989052,Endo,LMF2,3585,50499363,chr22,8338,8339,intergenic,TRUE,SINE,Alu,198
chr3_5027252,top1pcEndoOnly,0.674146011898356,0.00093434832809282,0.250338107207511,Endo,BHLHE40,41928,5027252,chr3,46837,-46838,promoter,TRUE,SINE,Alu,199
chr3_26878167,top1pcEndoOnly,0.587597087028268,0.0233851257372793,0.0795084006016832,Endo,LRRC3B,160629,26878167,chr3,253272,-253273,intergenic,TRUE,LINE,L1,200
chr3_46984285,top1pcEndoOnly,0.801965793360669,0.135029001640075,0.481413355206265,Endo,NBEAL2,0,46984285,chr3,2274,-2275,intron,TRUE,SINE,Alu,201
chr3_46988170,top1pcEndoOnly,0.896518243508255,0.122603867335699,0.503632356336001,Endo,NBEAL2,0,46988170,chr3,6159,-6160,promoter,FALSE,,,202
chr3_50340540,top1pcEndoOnly,0.79127049779486,0.0324634730452376,0.254383645667851,Endo,RASSF1,0,50340540,chr3,439,440,promoter,FALSE,,,203
chr3_54203074,top1pcEndoOnly,0.441107999157854,0.223279692346023,0.333715196309942,Endo,CACNA2D3,0,54203074,chr3,77696,-77697,intron,TRUE,LTR,ERVL,204
chr3_61178549,top1pcEndoOnly,0.697811281622746,0.0445698849324095,0.494805703886914,Endo,FHIT,0,61178549,chr3,72909,72910,intron,FALSE,,,205
chr3_72302013,top1pcEndoOnly,0.496450602733617,0.153226354594157,0.335529206828302,Endo,LOC105377158,0,72302013,chr3,14946,14947,exon,FALSE,,,206
chr3_75583245,top1pcEndoOnly,0.751241782037695,0.0561111772083091,0.40669705630229,Endo,MIR1324,47517,75583245,chr3,47517,-47518,intergenic,FALSE,,,207
chr3_75583318,top1pcEndoOnly,0.776759827127572,0.0778647315760405,0.0348241925655994,Endo,MIR1324,47444,75583318,chr3,47444,-47445,intergenic,FALSE,,,207
chr3_95090765,top1pcEndoOnly,0.783782109343095,0.0288735639836285,0.231794955477878,Endo,LINC00879,0,95090765,chr3,152801,152802,intron,TRUE,LTR,ERV1,208
chr3_98758134,top1pcEndoOnly,0.740783222244601,0.196052707389909,0.0844749494399076,Endo,ST3GAL6,0,98758134,chr3,24536,-24537,intron,TRUE,SINE,Alu,209
chr3_122232635,top1pcEndoOnly,0.79297862360761,0.126310419394422,0.0144416908660169,Endo,CASR,0,122232635,chr3,48966,48967,intron,FALSE,,,210
chr3_124292638,top1pcEndoOnly,0.58322288296454,0.177042461266828,0.158245491691628,Endo,KALRN,0,124292638,chr3,81693,-81694,intron,FALSE,,,211
chr3_126214216,top1pcEndoOnly,0.838391625634892,0.0184677940687685,0.243507110271409,Endo,LOC124909426,0,126214216,chr3,1011,1012,exon,FALSE,,,212
chr3_128421689,top1pcEndoOnly,0.48606323438698,0.207102891909578,0.170498686925105,Endo,LOC124909428,10845,128421689,chr3,10845,-10846,intron,FALSE,,,213
chr3_141009558,top1pcEndoOnly,0.874181395593793,0.162865839108463,0.365242849543849,Endo,SLC25A36,28562,141009558,chr3,41788,-41789,intergenic,FALSE,,,214
chr3_157701978,top1pcEndoOnly,0.554373586393797,0.204626479505763,0.401789629761946,Endo,SLC66A1LP,24228,157701978,chr3,159258,159259,intergenic,FALSE,,,215
chr3_161514273,top1pcEndoOnly,0.615937802154788,0.26555674235099,0.491270093251196,Endo,OTOL1,10330,161514273,chr3,17464,17465,intergenic,FALSE,,,216
chr3_187890625,top1pcEndoOnly,0.732761462667402,0.0602356203590754,0.361664222742975,Endo,LOC124906315,0,187890625,chr3,71,72,promoter,TRUE,LINE,L1,217
chr3_196648504,top1pcEndoOnly,0.487596140986195,0.236678746818051,0.0567115184472032,Endo,PIGX,0,196648504,chr3,8728,8729,intron,TRUE,SINE,Alu,218
chr4_981446,top1pcEndoOnly,0.709546052928608,0.0441474973103063,0.109891157826272,Endo,DGKQ,0,981446,chr4,5448,5449,intron,TRUE,SINE,Alu,219
chr4_4461846,top1pcEndoOnly,0.728896112363934,0.145001097647376,0.339588823917405,Endo,STX18,0,4461846,chr4,19853,19854,promoter,FALSE,,,220
chr4_6355382,top1pcEndoOnly,0.772857443794082,0.268423955059679,0.418294030649162,Endo,PPP2R2C,0,6355382,chr4,85532,85533,intron,TRUE,LINE,L1,221
chr4_7722248,top1pcEndoOnly,0.422559721289428,0.0428459054715168,0.184799965298497,Endo,SORCS2,0,7722248,chr4,31828,-31829,intron,FALSE,,,222
chr4_8351429,top1pcEndoOnly,0.714793988609527,0.230358086932997,0.149483938517073,Endo,ACOX3,14852,8351429,chr4,31323,31324,intergenic,FALSE,,,223
chr4_9381003,top1pcEndoOnly,0.943074878777831,0.160118300199196,0.388895920735923,Endo,LOC105369250,0,9381003,chr4,422,423,exon,FALSE,,,224
chr4_12118549,top1pcEndoOnly,0.57919594798999,0.269631021038428,0.362591555834403,Endo,LINC02270,104895,12118549,chr4,104895,-104896,intergenic,TRUE,LTR,ERVL-MaLR,225
chr4_26822662,top1pcEndoOnly,0.887393532269216,0.0825580883862227,0.166113791570028,Endo,TBC1D19,32458,26822662,chr4,34938,-34939,intergenic,FALSE,,,226
chr4_37436122,top1pcEndoOnly,0.98043304437379,0.0147259138176587,0.0723622439792252,Endo,NWD2,0,37436122,chr4,17802,-17803,intron,FALSE,,,227
chr4_64314525,top1pcEndoOnly,0.575777372129103,0.140254651429215,0.32201663761336,Endo,TECRL,0,64314525,chr4,94942,94943,intron,FALSE,,,228
chr4_64927430,top1pcEndoOnly,0.750947591347339,0.26696352116252,0.326943045239972,Endo,LINC02232,0,64927430,chr4,43513,-43514,intron,FALSE,,,229
chr4_78704723,top1pcEndoOnly,0.696909420849153,0.115362733015534,0.455055905607341,Endo,LOC101928893,0,78704723,chr4,58506,58507,intron,FALSE,,,230
chr4_134394695,top1pcEndoOnly,0.632704514182834,0.192030301474386,0.411795078548888,Endo,LINC02462,0,134394695,chr4,11227,11228,intron,TRUE,LINE,L1,231
chr4_164959805,top1pcEndoOnly,0.964207103688966,0.142996641561578,0.034845164305703,Endo,TRIM61,0,164959805,chr4,2858,2859,intron,TRUE,LINE,L1,232
chr4_184040172,top1pcEndoOnly,0.735325935313227,0.243427256798412,0.482097493821549,Endo,STOX2,16645,184040172,chr4,144538,-144539,intergenic,FALSE,,,233
chr4_184097440,top1pcEndoOnly,0.729720586057832,0.0902492134159224,0.240467307175277,Endo,ENPP6,0,184097440,chr4,87270,-87271,intron,FALSE,,,234
chr4_188315458,top1pcEndoOnly,0.63146185769657,0.0268227614625861,0.370091328436113,Endo,LOC105377609,101752,188315458,chr4,144704,144705,intergenic,TRUE,LINE,L2,235
chr5_1597217,top1pcEndoOnly,0.580228885523813,0.185438069221833,0.466148162758299,Endo,PDCD6P1,0,1597217,chr5,35683,35684,promoter,FALSE,,,236
chr5_1778903,top1pcEndoOnly,0.907186647695687,0.235152711517286,0.0407531476982598,Endo,MRPL36,19481,1778903,chr5,22462,22463,intergenic,FALSE,,,237
chr5_24317711,top1pcEndoOnly,0.855732798583353,0.187179258437293,0.397114450321594,Endo,LOC105374689,0,24317711,chr5,23350,23351,intron,TRUE,LINE,L1,238
chr5_33600908,top1pcEndoOnly,0.743855310196469,0.105353425370759,0.0861450189392083,Endo,TARS1,132816,33600908,chr5,160116,-160117,intron,FALSE,,,239
chr5_36017684,top1pcEndoOnly,0.939813937164987,0.227594797030524,0.0986720685118074,Endo,UGT3A1,16655,36017684,chr5,16655,-16656,intergenic,TRUE,LINE,L1,240
chr5_36953216,top1pcEndoOnly,0.550056846559992,0.180279662621324,0.263223170497481,Endo,NIPBL,0,36953216,chr5,76446,76447,promoter,FALSE,,,241
chr5_58913787,top1pcEndoOnly,0.805567475740195,0.241571692043846,0.416490108841714,Endo,RAB3C,54392,58913787,chr5,331565,331566,intergenic,TRUE,LTR,ERV1,242
chr5_62208520,top1pcEndoOnly,0.584481339872627,0.286552000023587,0.460792933360154,Endo,LOC124900610,0,62208520,chr5,33711,33712,intron,TRUE,LINE,L2,243
chr5_63155217,top1pcEndoOnly,0.880695087724749,0.0640062926206039,0.24802282729839,Endo,IPO11,526634,63155217,chr5,576395,576396,intergenic,FALSE,,,244
chr5_76199453,top1pcEndoOnly,0.92218351797102,0.0390578968667021,0.335691811342002,Endo,SV2C,0,76199453,chr5,115266,-115267,intron,FALSE,,,245
chr5_88827334,top1pcEndoOnly,0.713605984836409,0.100616207047808,0.405960175031999,Endo,MEF2C,0,88827334,chr5,55941,-55942,promoter,FALSE,,,246
chr5_96656366,top1pcEndoOnly,0.903916521544353,0.188626626715265,0.162698623020545,Endo,CAST,0,96656366,chr5,39510,-39511,intron,TRUE,LTR,ERVL-MaLR,247
chr5_134906266,top1pcEndoOnly,0.799382199506321,0.195536835310759,0.13359850407955,Endo,PCBD2,0,134906266,chr5,1092,1093,intron,TRUE,SINE,Alu,248
chr5_135036179,top1pcEndoOnly,0.535583845943916,0.0941716254299002,0.295846645181438,Endo,PITX1-AS1,0,135036179,chr5,1365,-1366,promoter,FALSE,,,249
chr5_137889034,top1pcEndoOnly,0.661525740730562,0.191217000387801,0.0385495791843532,Endo,PKD2L2,0,137889034,chr5,399,400,promoter,TRUE,SINE,MIR,250
chr5_140967502,top1pcEndoOnly,0.644501345280655,0.0484512912440233,0.0280112049392934,Endo,LOC124901090,22699,140967502,chr5,110533,110534,promoter,FALSE,,,251
chr5_141173749,top1pcEndoOnly,0.867274368448715,0.00707287666627196,0.396501467642271,Endo,LOC105378199,66991,141173749,chr5,95712,-95713,promoter,FALSE,,,252
chr5_141477532,top1pcEndoOnly,0.770814567541355,0.175513636903785,0.209634074015402,Endo,PCDHGA8,0,141477532,chr5,1584,1585,promoter,FALSE,,,253
chr5_146333950,top1pcEndoOnly,0.600383358794177,0.209261599618271,0.345949563990053,Endo,RBM27-POU4F3,0,146333950,chr5,4888,-4889,intron,TRUE,SINE,MIR,254
chr5_170715905,top1pcEndoOnly,0.496180251344415,0.127317972164331,0.223980064238031,Endo,KCNIP1,0,170715905,chr5,34467,-34468,intron,FALSE,,,255
chr6_10659443,top1pcEndoOnly,0.723861638013582,0.134974919260517,0.0242426943315044,Endo,TMEM14B-DT,83878,10659443,chr6,88315,-88316,promoter,TRUE,SINE,Alu,256
chr6_10882717,top1pcEndoOnly,0.761138365848952,0.239723463938806,0.122325457906437,Endo,SYCP2L,0,10882717,chr6,675,-676,promoter,FALSE,,,257
chr6_24684543,top1pcEndoOnly,0.548048499902868,0.212837359764503,0.449426770147289,Endo,ACOT13,0,24684543,chr6,17507,17508,intron,FALSE,,,258
chr6_25263453,top1pcEndoOnly,0.4238463308068,0.216443492952402,0.00449352887894055,Endo,CMAHP,0,25263453,chr6,2040,-2041,intron,TRUE,SINE,Alu,259
chr6_27187194,top1pcEndoOnly,0.452111987765207,0.177146779376469,0.0351944450952266,Endo,MIR3143,39505,27187194,chr6,39567,39568,promoter,TRUE,SINE,Alu,260
chr6_30467409,top1pcEndoOnly,0.758273255408154,0.187070709851107,0.0357838661403069,Endo,LINC03222,0,30467409,chr6,14249,14250,promoter,FALSE,,,261
chr6_31088249,top1pcEndoOnly,0.774979016671629,0.111660349960363,0.0408650673858192,Endo,LOC124901299,149424,31088249,chr6,153725,153726,intergenic,TRUE,SINE,Alu,262
chr6_31766163,top1pcEndoOnly,0.579435309076326,0.141374268052379,0.28814454820585,Endo,MIR4646,65071,31766163,chr6,65071,-65072,promoter,FALSE,,,263
chr6_35503585,top1pcEndoOnly,0.845960274337901,0.273359956701087,0.37086487750156,Endo,TULP1,0,35503585,chr6,5977,5978,exon,FALSE,,,264
chr6_45236020,top1pcEndoOnly,0.895153373513494,0.112928352393535,0.15723235853248,Endo,SUPT3H,0,45236020,chr6,38249,-38250,intron,TRUE,LTR,ERVK,265
chr6_68487849,top1pcEndoOnly,0.464260968811181,0.273562005199245,0.468840563412246,Endo,ADGRB3-DT,140015,68487849,chr6,147315,147316,intron,TRUE,LINE,L1,266
chr6_68633390,top1pcEndoOnly,0.604810428753769,0.00056422026844171,0.123054709631519,Endo,ADGRB3-DT,0,68633390,chr6,1774,1775,promoter,FALSE,,,267
chr6_69431934,top1pcEndoOnly,0.540261859856265,0.198047499736175,0.277625376461012,Endo,ADGRB3,41362,69431934,chr6,434621,-434622,intergenic,TRUE,Retroposon,SVA,268
chr6_96784428,top1pcEndoOnly,0.435473978327462,0.114159789109711,0.095845206434319,Endo,GPR63,9696,96784428,chr6,53048,53049,promoter,FALSE,,,269
chr6_126033156,top1pcEndoOnly,0.48476454308334,0.0755809762487572,0.28267405373294,Endo,TRMT11,0,126033156,chr6,46676,46677,intron,FALSE,,,270
chr6_128911345,top1pcEndoOnly,0.856894205200766,0.0703752433741343,0.097483452677185,Endo,LAMA2,0,128911345,chr6,28206,28207,intron,TRUE,LINE,L1,271
chr6_130194025,top1pcEndoOnly,0.683937200516573,0.0497609749251174,0.207118957224725,Endo,SAMD3,0,130194025,chr6,171399,171400,intron,TRUE,LTR,ERV1,272
chr6_133746072,top1pcEndoOnly,0.711031762293513,0.0988273262822023,0.432638965160714,Endo,TARID,0,133746072,chr6,58784,-58785,intron,TRUE,SINE,Alu,273
chr6_133948746,top1pcEndoOnly,0.417002622796247,0.0327467040580328,0.121173390941372,Endo,TARID,0,133948746,chr6,3423,-3424,intron,TRUE,LTR,ERVL-MaLR,274
chr6_138523563,top1pcEndoOnly,0.735780633894563,0.245625273518251,0.161616897741158,Endo,NHSL1,0,138523563,chr6,88268,-88269,intron,TRUE,SINE,Alu,275
chr6_150490691,top1pcEndoOnly,0.830174695948465,0.177290569870094,0.346028984126551,Endo,LOC124901429,24499,150490691,chr6,86303,86304,intron,TRUE,DNA,hAT-Blackjack,276
chr6_158356641,top1pcEndoOnly,0.735245921765084,0.160314364342192,0.0602870001216947,Endo,TULP4,0,158356641,chr6,53264,-53265,intron,FALSE,,,277
chr6_159578134,top1pcEndoOnly,0.464395687834334,0.269583921282126,0.0167596706274488,Endo,LOC105378085,8820,159578134,chr6,11034,11035,intron,TRUE,LTR,ERVL-MaLR,278
chr7_5164167,top1pcEndoOnly,0.644758708199899,0.268919354116703,0.0587612866490194,Endo,ZNF890P,19461,5164167,chr7,19461,-19462,intron,TRUE,SINE,Alu,279
chr7_5564384,top1pcEndoOnly,0.435213898357377,0.280597846277122,0.466412091985589,Endo,ACTB,481,5564384,chr7,481,-482,promoter,TRUE,SINE,Alu,280
chr7_30642492,top1pcEndoOnly,0.874785211858445,0.112805306076975,0.454367510455867,Endo,LOC124901609,0,30642492,chr7,127,128,promoter,TRUE,LINE,L1,281
chr7_43199785,top1pcEndoOnly,0.959398270841151,0.0477365262840951,0.398073763585309,Endo,HECW1,0,43199785,chr7,48889,48890,intron,TRUE,DNA,hAT-Charlie,282
chr7_56454779,top1pcEndoOnly,0.582595222047907,0.178278039388402,0.162696771978899,Endo,LOC650226,6325,56454779,chr7,6325,-6326,intergenic,TRUE,SINE,Alu,283
chr7_58045908,top1pcEndoOnly,0.673607733165392,0.120687760049939,0.0731211546552356,Endo,LOC102723842,177745,58045908,chr7,177745,-177746,intergenic,FALSE,,,284
chr7_73565783,top1pcEndoOnly,0.589644156414685,0.0615544603458554,0.280186463496195,Endo,TBL2,1753,73565783,chr7,8092,-8093,intergenic,FALSE,,,285
chr7_76166396,top1pcEndoOnly,0.846862954722059,0.260676334820065,0.273129702450288,Endo,LOC124901674,0,76166396,chr7,3696,3697,promoter,TRUE,SINE,Alu,286
chr7_95917591,top1pcEndoOnly,0.482476643734155,0.200350506242591,0.20938902400395,Endo,DYNC1I1,0,95917591,chr7,115075,-115076,intron,FALSE,,,287
chr7_115420145,top1pcEndoOnly,0.742389540044527,0.0116371295924836,0.191091743626649,Endo,SNORA25B,161169,115420145,chr7,161296,161297,intron,TRUE,LINE,L1,288
chr7_116306146,top1pcEndoOnly,0.910241840811573,0.203274805188568,0.303862599779218,Endo,CAV2,0,116306146,chr7,18072,18073,intron,TRUE,LINE,L2,289
chr7_134355048,top1pcEndoOnly,0.747037577745946,0.157245938267278,0.0564707302849447,Endo,LOC105375518,10561,134355048,chr7,10561,-10562,promoter,TRUE,LTR,ERVL,290
chr7_142352789,top1pcEndoOnly,0.962046126131453,0.0754203997711371,0.449374165885691,Endo,TAS2R38,379015,142352789,chr7,379015,-379016,promoter,FALSE,,,291
chr8_4462694,top1pcEndoOnly,0.684226416753015,0.222736322432153,0.453079201422578,Endo,CSMD1,0,4462694,chr8,532277,532278,intron,TRUE,LINE,L1,292
chr8_28419410,top1pcEndoOnly,0.425093532160299,0.262235373728679,0.0980463665871273,Endo,ZNF395,0,28419410,chr8,70845,70846,intron,TRUE,SINE,Alu,293
chr8_41725935,top1pcEndoOnly,0.59571244248163,0.243767266147924,0.213571753650275,Endo,ANK1,0,41725935,chr8,65426,-65427,exon,FALSE,,,294
chr8_109229267,top1pcEndoOnly,0.542255026844758,0.0387803773723266,0.317368869185524,Endo,NUDCD1,11651,109229267,chr8,104853,104854,intergenic,FALSE,,,295
chr8_127312020,top1pcEndoOnly,0.71502554550264,0.132002279764575,0.501238091334096,Endo,CASC8,0,127312020,chr8,10162,-10163,promoter,TRUE,LINE,L1,296
chr8_140469431,top1pcEndoOnly,0.689762568162941,0.241870669885875,0.454971718104896,Endo,LOC105375782,3030,140469431,chr8,4890,4891,intergenic,TRUE,LINE,L1,297
chr8_142700164,top1pcEndoOnly,0.772903186018698,0.188679318159407,0.396624998967944,Endo,LY6K,0,142700164,chr8,52,53,promoter,FALSE,,,298
chr8_142907539,top1pcEndoOnly,0.886159107074818,0.0206204218831748,0.221657044254676,Endo,GML,0,142907539,chr8,10303,10304,intron,TRUE,LTR,ERV1,299
chr8_143554180,top1pcEndoOnly,0.781808367507232,0.105288990543491,0.431913258419091,Endo,LOC100310756,2635,143554180,chr8,4205,4206,promoter,FALSE,,,300
chr9_263022,top1pcEndoOnly,0.932788084552164,0.0198305167674201,0.462914964243561,Endo,DOCK8,0,263022,chr9,47128,-47129,intron,TRUE,SINE,Alu,301
chr9_6873941,top1pcEndoOnly,0.808002043865772,0.0708248639834016,0.351665282623148,Endo,KDM4C,0,6873941,chr9,154975,154976,intron,FALSE,,,302
chr9_11233815,top1pcEndoOnly,0.802245038914565,0.0348509437255896,0.463067532949148,Endo,LOC105375974,0,11233815,chr9,36484,-36485,intron,TRUE,LTR,ERV1,303
chr9_20682982,top1pcEndoOnly,0.513229324397092,0.164344665152183,0.00959310293455108,Endo,FOCAD,0,20682982,chr9,1820,1821,promoter,TRUE,SINE,Alu,304
chr9_21152362,top1pcEndoOnly,0.539348997027312,0.24066412264337,0.37674728720462,Endo,IFNW1,10529,21152362,chr9,10529,-10530,intergenic,TRUE,LTR,ERV1,305
chr9_36826325,top1pcEndoOnly,0.770159263099663,0.215953949303651,0.395368730179459,Endo,LOC105376030,0,36826325,chr9,2725,-2726,intron,FALSE,,,306
chr9_42853495,top1pcEndoOnly,0.455374721203891,0.0997984595826585,0.194679545929727,Endo,LOC112268044,0,42853495,chr9,8140,8141,intron,TRUE,SINE,Alu,307
chr9_63348247,top1pcEndoOnly,0.427651753383223,0.0950824360203248,0.450293787060497,Endo,AQP7P1,0,63348247,chr9,17920,17921,intron,FALSE,,,308
chr9_76836241,top1pcEndoOnly,0.718836376064315,0.232350878670278,0.0654460454748528,Endo,PRUNE2,0,76836241,chr9,69872,69873,intron,FALSE,,,309
chr9_77514982,top1pcEndoOnly,0.466876748964989,0.059071256860383,0.123130459120424,Endo,GNA14,0,77514982,chr9,58686,58687,intron,FALSE,,,310
chr9_78292300,top1pcEndoOnly,0.912163103082691,0.222413164243343,0.376309245262591,Endo,PSAT1,4824,78292300,chr9,4824,-4825,intergenic,FALSE,,,311
chr9_78618458,top1pcEndoOnly,0.780170878691821,0.184300585022379,0.299350387573485,Endo,LOC107987083,90929,78618458,chr9,259848,259849,intergenic,TRUE,SINE,Alu,312
chr9_80747246,top1pcEndoOnly,0.77595918912111,0.185129579393677,0.275817427177583,Endo,LOC107987084,20,80747246,chr9,20,-21,promoter,TRUE,LINE,L1,313
chr9_81101871,top1pcEndoOnly,0.548776740275017,0.269814967776766,0.226803512446834,Endo,LOC107987085,179175,81101871,chr9,179175,-179176,intergenic,TRUE,SINE,Alu,314
chr9_127752452,top1pcEndoOnly,0.6232104933815,0.173916545013378,0.0605811859117457,Endo,SH2D3C,0,127752452,chr9,17138,-17139,intron,FALSE,,,315
chr9_130376556,top1pcEndoOnly,0.56590924579682,0.284420725561725,0.247853724188349,Endo,HMCN2,0,130376556,chr9,68404,-68405,exon,FALSE,,,316
chr9_134026344,top1pcEndoOnly,0.95639925742293,0.0198665180494359,0.12774287148221,Endo,BRD3OS,0,134026344,chr9,862,863,promoter,FALSE,,,317
chr9_135481350,top1pcEndoOnly,0.598055150009854,0.177205509147864,0.0700331664174925,Endo,PPP1R26,0,135481350,chr9,572,-573,promoter,TRUE,SINE,Alu,318
chrX_8064562,top1pcEndoOnly,0.754744788651063,0.00890878958835134,0.322298786213544,Endo,LOC107985675,0,8064562,chrX,62402,-62403,intron,TRUE,LTR,ERVL-MaLR,319
chrX_9651990,top1pcEndoOnly,0.585125111183694,0.157860588997033,0.184511338764784,Endo,TBL1X,0,9651990,chrX,134306,134307,intron,TRUE,LTR,ERVL-MaLR,320
